Class,mAP50,Category
0,0.6983614165482692,needs_improvement
1,0.7039963137035448,good
2,0.9518284883720931,excellent
3,0.915926408888889,excellent
4,0.8814676193741026,excellent
5,0.5853121032258064,needs_improvement
6,0.5796898550724637,needs_improvement
7,0.7522777515862191,good
8,0.8635484848484849,excellent
9,0.7729995291082083,good
