Class,mAP50,Category
0,0.7341350391278803,good
1,0.586128586225592,needs_improvement
2,0.8041864754098361,good
3,0.9524585135135137,excellent
4,0.8817345697204437,excellent
5,0.37151638647067226,poor
6,0.4991803278688526,poor
7,0.8046741615466109,good
8,0.7424760476190475,good
9,0.8288523333333334,good
